SmallUnitInstallationPostcode,Jan2012-InstallationsQuantity,Jan2012-SGURatedOutputInkW,Feb2012-InstallationsQuantity,Feb2012-SGURatedOutputInkW,Mar2012-InstallationsQuantity,Mar2012-SGURatedOutputInkW,Apr2012-InstallationsQuantity,Apr2012-SGURatedOutputInkW,May2012-InstallationsQuantity,May2012-SGURatedOutputInkW,Jun2012-InstallationsQuantity,Jun2012-SGURatedOutputInkW,Jul2012-InstallationsQuantity,Jul2012-SGURatedOutputInkW,Aug2012-InstallationsQuantity,Aug2012-SGURatedOutputInkW,Sep2012-InstallationsQuantity,Sep2012-SGURatedOutputInkW,Oct2012-InstallationsQuantity,Oct2012-SGURatedOutputInkW,Nov2012-InstallationsQuantity,Nov2012-SGURatedOutputInkW,Dec2012-InstallationsQuantity,Dec2012-SGURatedOutputInkW
0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0800,1,28.98,0,0,0,0,0,0,0,0,1,29.025,0,0,0,0,0,0,0,0,0,0,0,0
0801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0804,0,0,0,0,0,0,1,7.41,0,0,2,6.67,0,0,0,0,0,0,0,0,0,0,0,0
0810,6,15.225,6,27.675,5,27.67,2,8.12,2,8.3,12,45.11,1,4.56,3,13.14,4,11.52,5,14.52,6,20.36,9,41.39
0812,3,7.625,1,5.06,3,11.92,2,7.42,5,26.66,4,13.87,1,2.28,1,4.5,2,7.095,2,8.82,3,10.22,6,25.25
0813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0820,2,8.325,0,0,0,0,0,0,3,18.24,3,15.47,3,15.88,2,9,2,7.62,1,4.5,2,4.36,2,5.97
0821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0822,0,0,1,2.25,0,0,0,0,0,0,2,9.5,2,13.48,0,0,2,39.517,2,15.19,7,35.637,0,0
0828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.12
0829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0830,1,4.44,4,10.325,5,15.365,1,1.52,4,16.15,12,49.61,3,15.4,2,9,2,5.46,0,0,3,11.48,15,54.275
0831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0832,1,3,8,18.36,4,9.7,0,0,3,11.04,5,26.17,0,0,2,7.62,0,0,2,4.29,1,1.95,11,55.99
0834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,6,1,1.95
0835,0,0,0,0,0,0,2,6.68,5,22.165,2,9.05,0,0,1,3.12,2,5.4,0,0,2,5.4,7,28.64
0836,1,2.775,2,5.27,1,14.19,3,7.86,5,23.16,3,22.25,1,4.5,1,4.5,2,7.34,4,14.04,9,41.86,14,53.94
0837,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
0838,0,0,0,0,0,0,0,0,2,12.57,1,1.68,0,0,0,0,0,0,0,0,0,0,0,0
0840,0,0,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0
0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0845,0,0,0,0,0,0,0,0,1,6.84,0,0,0,0,0,0,0,0,0,0,2,41.521,0,0
0846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.32
0851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.82,0,0
