SmallUnitInstallationPostcode,Jan2013-InstallationsQuantity,Jan2013-SGURatedOutputInkW,Feb2013-InstallationsQuantity,Feb2013-SGURatedOutputInkW,Mar2013-InstallationsQuantity,Mar2013-SGURatedOutputInkW,Apr2013-InstallationsQuantity,Apr2013-SGURatedOutputInkW,May2013-InstallationsQuantity,May2013-SGURatedOutputInkW,Jun2013-InstallationsQuantity,Jun2013-SGURatedOutputInkW
0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0
800,1,4.56,1,3.43,0,0,1,4.56,0,0,0,0
801,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,0,0,0,0
810,7,29.73,8,33.77,8,40.71,10,37.07,2,9.6,1,2.4
812,7,29.3,16,61.2,4,18.33,5,22.77,3,11.82,0,0
813,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0
820,1,4.56,2,8.61,2,7.92,2,9.09,0,0,0,0
821,0,0,0,0,0,0,0,0,0,0,0,0
822,0,0,0,0,2,14.56,1,4.59,0,0,0,0
828,1,6,1,4.5,0,0,1,6,0,0,0,0
829,0,0,0,0,0,0,0,0,0,0,0,0
830,10,45.605,8,30.835,6,23.91,5,21.23,2,9.15,0,0
831,0,0,0,0,0,0,0,0,0,0,0,0
832,10,39.12,9,33.86,6,24.73,4,12.6,0,0,0,0
834,0,0,2,7.05,3,13.56,0,0,0,0,0,0
835,2,11.57,0,0,5,21.18,1,4.5,1,4.56,0,0
836,6,43.38,1,4.56,3,14.32,1,4.6,2,10.56,0,0
837,0,0,0,0,0,0,0,0,0,0,0,0
838,1,4.59,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,0,0,0
841,0,0,0,0,0,0,0,0,0,0,0,0
845,0,0,0,0,0,0,0,0,0,0,0,0
846,0,0,0,0,0,0,0,0,0,0,0,0
847,0,0,0,0,1,85,1,4.5,0,0,0,0
850,2,7.68,7,31.6,5,22.56,0,0,0,0,0,0
851,0,0,0,0,0,0,0,0,0,0,0,0
852,0,0,2,11.97,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,1,4,2,12,2,6.5,1,4.56,1,2.64
861,0,0,0,0,0,0,0,0,0,0,1,4.56
862,0,0,0,0,0,0,0,0,0,0,0,0
870,3,37.41,4,15.5,1,5,5,22.465,20,88.76,0,0
871,0,0,0,0,0,0,0,0,0,0,0,0
872,2,14.04,0,0,1,5,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0,0,0,0,0
881,0,0,0,0,0,0,0,0,0,0,0,0
885,0,0,0,0,0,0,0,0,0,0,0,0
886,0,0,0,0,0,0,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0,0,0
1355,0,0,0,0,0,0,0,0,0,0,0,0
1435,0,0,0,0,0,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0,0,0,0,0
1658,0,0,0,0,0,0,0,0,0,0,0,0
1660,0,0,0,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,0,0,0,0,0,0
1715,0,0,0,0,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0,0,0,0,0
1741,0,0,0,0,0,0,0,0,0,0,0,0
1755,0,0,0,0,0,0,0,0,0,0,0,0
1765,0,0,0,0,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0,0,0
1805,0,0,0,0,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0,0,0,0,0
1835,0,0,0,0,0,0,0,0,0,0,0,0
1848,0,0,0,0,0,0,0,0,0,0,0,0
1860,0,0,0,0,0,0,0,0,0,0,0,0
1871,0,0,0,0,0,0,0,0,0,0,0,0
1875,0,0,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,1,3.6,0,0
2007,1,9.12,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,2,4.44,1,2.5,0,0,10,14.97,0,0
2011,0,0,1,2.07,0,0,0,0,0,0,0,0
2015,1,1.5,2,12.04,0,0,0,0,0,0,0,0
2016,1,2,0,0,0,0,0,0,1,4,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0
2019,3,33.61,0,0,0,0,0,0,2,7.22,0,0
2020,2,6.4,1,2,1,3.04,1,5,0,0,1,5
2021,0,0,1,3.12,1,1.5,0,0,0,0,0,0
2022,0,0,0,0,0,0,3,6.52,0,0,0,0
2023,0,0,2,7.8,3,10.5,0,0,0,0,0,0
2024,1,7.25,0,0,0,0,1,3,1,5,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0
2026,1,1.635,1,2.5,0,0,0,0,1,2.04,0,0
2027,2,5.07,0,0,0,0,0,0,0,0,0,0
2028,0,0,1,2,0,0,1,1.6,0,0,0,0
2029,1,3.04,0,0,0,0,0,0,0,0,0,0
2030,2,8,3,9,0,0,0,0,1,3.5,0,0
2031,1,1.5,0,0,1,4.58,0,0,2,8.68,0,0
2032,0,0,0,0,1,2.99,0,0,1,3,0,0
2033,2,3.5,0,0,0,0,0,0,0,0,0,0
2034,1,3,6,34.31,1,5,0,0,0,0,0,0
2035,4,15.12,0,0,6,21,3,7.56,2,3.54,0,0
2036,3,10.2,3,9.49,3,9.18,3,6.5,1,5.06,0,0
2037,0,0,0,0,2,7.88,0,0,1,4.905,0,0
2038,1,3,0,0,0,0,1,5,0,0,0,0
2039,1,1.56,0,0,2,5.27,0,0,1,20,0,0
2040,2,5.5,6,18.145,5,13,2,6,2,5.92,1,1.61
2041,0,0,4,9.5,2,5.5,0,0,1,5,0,0
2042,0,0,4,7.385,5,23.5,1,3,1,2,0,0
2043,1,2,0,0,0,0,0,0,0,0,0,0
2044,6,14.6,2,7,3,10,2,3.5,1,3,0,0
2045,0,0,0,0,1,4.3,0,0,0,0,0,0
2046,5,18.09,2,6.4,0,0,0,0,2,8,0,0
2047,0,0,1,1.5,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,1,1.5,0,0,0,0
2050,1,1.64,0,0,1,25,0,0,1,3,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0
2060,1,1.6,0,0,2,6.25,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0
2062,1,15.6,3,12,0,0,1,2.4,1,1,0,0
2063,0,0,0,0,1,3,0,0,1,1.5,0,0
2064,0,0,1,2.5,0,0,0,0,0,0,0,0
2065,2,13.35,0,0,3,11.06,0,0,1,3,0,0
2066,2,6.78,5,17.52,3,7.52,2,7.5,1,3.92,0,0
2067,3,8.66,2,4.5,2,13.08,3,13.2,1,2.28,0,0
2068,3,14.73,1,4.8,0,0,0,0,1,5,0,0
2069,2,6,3,10.99,1,5,2,14.25,1,6,1,2
2070,0,0,2,6.22,1,3,0,0,1,3.12,0,0
2071,2,7,0,0,1,2,2,7,0,0,1,17.08
2072,0,0,1,4,1,2,0,0,1,2,0,0
2073,2,6.5,4,14.76,2,6.52,1,1.5,1,4.14,0,0
2074,3,6.97,2,7,2,5.64,1,4,1,3,0,0
2075,2,9,1,3.92,1,5,1,3.2,2,6.04,0,0
2076,0,0,3,8.6,6,19.77,1,9.5,5,26.86,0,0
2077,4,10.14,2,3.18,3,7.52,2,6,6,19.59,0,0
2079,1,3.51,4,11.64,0,0,0,0,1,4.25,0,0
2080,0,0,0,0,0,0,0,0,0,0,0,0
2081,2,5.2,0,0,1,5,0,0,2,4.5,0,0
2082,1,3.04,3,8.49,1,2.88,0,0,0,0,0,0
2083,1,3.5,2,8.2,0,0,2,3.11,0,0,0,0
2084,0,0,2,2.28,0,0,1,3.5,1,4.75,0,0
2085,1,5,3,8.36,3,7.5,1,2,5,19.8,0,0
2086,2,4.9,2,8.5,1,4,2,6.22,0,0,0,0
2087,1,1.52,3,7.14,3,8.5,0,0,0,0,0,0
2088,3,7.58,2,6.29,2,12.632,1,5,2,9.75,1,5.04
2089,0,0,0,0,0,0,0,0,1,2.88,0,0
2090,1,3.92,0,0,0,0,1,4,0,0,0,0
2092,1,3,2,6.25,1,1.5,1,3,0,0,0,0
2093,3,8.6,3,7.71,2,7,1,8,1,4,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0
2095,1,1.5,4,9.35,0,0,1,5,0,0,0,0
2096,0,0,1,2.93,1,2,2,6.2,0,0,0,0
2097,0,0,2,6.5,1,2.88,0,0,2,6.5,0,0
2099,5,15.12,5,14.25,4,11.69,1,3,4,7.635,0,0
2100,4,9.32,3,14.54,5,14.17,2,5,0,0,0,0
2101,4,13.22,2,8,3,8.04,1,10,3,15.21,1,1.56
2102,0,0,0,0,1,3.04,0,0,0,0,0,0
2103,0,0,2,5,1,2.76,0,0,3,36.945,0,0
2104,1,3.68,1,4.14,1,1.52,0,0,0,0,0,0
2105,0,0,0,0,0,0,0,0,0,0,0,0
2106,0,0,0,0,1,5,1,2.07,0,0,0,0
2107,1,3,0,0,0,0,4,15.27,0,0,0,0
2108,0,0,0,0,0,0,1,1.52,0,0,0,0
2109,0,0,0,0,0,0,0,0,0,0,0,0
2110,0,0,1,5,1,3,1,1.5,0,0,0,0
2111,2,6.5,1,3,0,0,2,7.889,0,0,0,0
2112,5,35.58,6,18.9,4,19.5,3,11.92,4,11.1,0,0
2113,3,8.17,4,12.14,0,0,0,0,1,5,0,0
2114,2,5.15,5,13.36,2,8,3,34.5,3,11.27,0,0
2115,2,3.56,2,6,3,11.09,2,5.5,0,0,0,0
2116,1,3,3,21.1,0,0,1,2.25,1,2.5,0,0
2117,5,38.45,1,3.04,3,8.5,0,0,6,23.5,2,4.61
2118,1,3,1,3,1,1.61,4,10.5,2,8.2,2,6
2119,2,6.56,1,3,3,9.5,0,0,0,0,0,0
2120,3,8,5,13.195,3,8.94,3,8.2,5,13.88,0,0
2121,5,15.1,3,9.94,4,9.06,2,7,2,6.54,0,0
2122,4,7.62,2,4.5,1,5,2,5,1,5,0,0
2123,0,0,0,0,0,0,0,0,0,0,0,0
2124,0,0,0,0,0,0,0,0,0,0,0,0
2125,6,20.8,3,16,4,13.55,1,3,4,13.48,0,0
2126,3,6.5,3,7.95,3,7,7,20.5,1,2,0,0
2127,1,5,0,0,0,0,1,0.95,0,0,0,0
2128,1,10.12,1,21,0,0,0,0,0,0,0,0
2130,2,8.12,0,0,0,0,0,0,0,0,0,0
2131,2,3.5,1,1.08,2,8,0,0,0,0,0,0
2132,0,0,1,2.07,0,0,1,5,0,0,0,0
2133,4,11.51,3,7.5,0,0,0,0,1,2,0,0
2134,3,8.07,0,0,2,4.5,0,0,1,4,0,0
2135,4,11.39,3,8.64,2,5.25,1,5,1,20.24,0,0
2136,3,14.09,3,6.06,1,5.25,1,3,0,0,1,3.22
2137,4,23,2,4.99,3,10,1,4.59,1,3.25,0,0
2138,0,0,3,8.095,0,0,0,0,1,5,0,0
2140,0,0,2,3.59,0,0,0,0,0,0,0,0
2141,2,3.16,10,22.25,3,7.64,4,38,2,3.57,0,0
2142,1,2.64,6,28.61,2,5.25,0,0,0,0,0,0
2143,1,10.08,2,10.82,1,1.5,1,3.04,1,3,0,0
2144,4,10.82,9,26.485,3,35.5,1,1.61,4,10,0,0
2145,23,62.385,18,62.01,18,46.82,10,54.14,6,22.28,0,0
2146,3,11.04,7,21.9,3,13.645,3,10.5,3,7.72,0,0
2147,15,50.06,4,8.11,3,11,9,28.875,4,10.11,3,10
2148,24,89.01,17,152.265,7,141.935,9,31.97,14,36.44,0,0
2150,2,4.145,1,2.4,0,0,0,0,1,4,1,2
2151,4,15.14,1,5.17,2,5.07,1,2,5,20.01,0,0
2152,5,14.01,2,7.99,0,0,1,3,2,6.5,1,1.6
2153,20,59.17,15,42.325,10,28.06,9,28.993,27,92.822,3,7.07
2154,7,19,4,14.91,5,24.78,6,17.28,10,36.75,0,0
2155,14,46.856,10,30.718,13,34.86,19,59.352,24,191.215,0,0
2156,7,32.7,6,21.18,4,12.12,1,2.5,3,44.75,0,0
2157,1,3.8,0,0,1,4,1,1.5,1,7,0,0
2158,1,2.5,3,22.6,2,30,1,5,4,11.5,0,0
2159,1,3.04,4,22.98,0,0,1,1.5,1,4.8,0,0
2160,3,6.44,7,21.58,3,10,4,12.2,3,11.5,1,3
2161,11,30.65,4,13.2,4,11.66,1,1.5,2,7.76,0,0
2162,9,29.12,12,38.65,5,15.72,1,5,1,9.8,0,0
2163,3,7.4,1,6,3,9.99,1,4.75,0,0,1,1.5
2164,10,126.54,1,3.04,4,19,3,18,1,2.5,1,4.5
2165,14,45.37,8,27.6,2,6.2,6,19.59,6,19.98,1,3
2166,22,67.79,17,40.35,14,36.978,7,23.33,5,11.11,2,8
2167,8,23.7,2,4.025,0,0,2,6.21,2,4.07,0,0
2168,10,23.61,10,25.125,13,34.21,3,11,11,39.59,0,0
2170,26,68.195,30,96.355,21,74.035,11,32.33,14,45.29,3,9
2171,14,34.17,14,41.28,14,44.885,11,33.07,18,48.75,0,0
2172,3,7.05,1,3,2,7,1,4,0,0,0,0
2173,5,11.86,7,15.95,6,15.5,2,6.35,4,11.5,0,0
2174,2,6,3,15,0,0,0,0,0,0,1,1.5
2175,3,9.79,0,0,0,0,0,0,0,0,0,0
2176,22,76.59,16,75.345,9,26.5,10,38.72,7,22.45,3,15
2177,3,9.12,10,31.64,2,8,3,11.56,6,19.64,1,3
2178,0,0,2,17.71,0,0,1,5,2,7,0,0
2179,0,0,0,0,0,0,2,7.49,0,0,0,0
2190,4,10.54,3,26.3,3,7.58,1,5,1,5,1,3
2191,2,4.52,3,27.5,0,0,0,0,1,6,0,0
2192,2,6,2,23.79,1,5,1,2,0,0,0,0
2193,2,17.8,3,12.9,2,11.2,2,6.5,0,0,1,1.5
2194,1,2,1,2,2,8,1,5,1,4,0,0
2195,2,6.03,2,7.89,3,5.63,0,0,0,0,0,0
2196,2,4.52,9,23.585,5,20,3,9.94,1,1.5,0,0
2197,3,8,3,12.92,1,6,0,0,1,2,1,2
2198,0,0,2,8.05,6,22.02,1,3,0,0,0,0
2199,3,11.12,5,13.61,4,11.52,5,11.91,2,6,0,0
2200,14,138.815,11,54.005,5,21.74,4,10.09,6,32.625,1,11
2203,0,0,1,2.94,1,1.92,1,4,1,3.6,0,0
2204,4,17.1,4,8.9,1,1.5,3,32.94,2,8.85,0,0
2205,2,4.685,1,1.6,1,3.36,0,0,1,5,0,0
2206,7,17.78,8,39.97,5,17.81,8,26.74,1,4,0,0
2207,1,3.04,6,15.41,2,4.55,1,2.07,1,1.6,1,1.61
2208,2,4.6,2,4.64,0,0,0,0,0,0,0,0
2209,1,3,1,3,2,3.22,2,5,0,0,0,0
2210,7,19.4,5,26.82,3,6.74,3,25.06,4,17.25,0,0
2211,5,18.085,2,6.68,8,20.9,0,0,4,16.5,0,0
2212,5,22.04,6,13.45,3,10.59,3,17.88,0,0,0,0
2213,5,30.34,6,21.225,0,0,2,4.17,7,24.5,0,0
2214,1,2.4,1,3.04,1,2.07,0,0,1,3.22,0,0
2216,6,13.64,2,12.51,1,7,0,0,0,0,0,0
2217,3,8.4,5,23.07,1,3,5,13.07,0,0,0,0
2218,0,0,2,10,1,4.75,4,13.8,1,5,0,0
2219,3,6.74,2,3.5,2,4.17,0,0,2,6.82,0,0
2220,4,13.07,4,6.82,1,3,2,5.5,1,15.12,0,0
2221,2,5.145,4,30.52,2,7.2,0,0,2,6.75,0,0
2222,0,0,2,4.5,0,0,1,4,1,4,0,0
2223,2,7.6,2,4.72,0,0,1,5,1,2,0,0
2224,2,5.88,1,5,1,8.5,0,0,0,0,0,0
2225,1,2.88,1,3,0,0,1,5,1,2.99,0,0
2226,2,4.86,1,3,2,7.18,0,0,0,0,0,0
2227,3,9.5,1,3,2,9,0,0,0,0,0,0
2228,3,10,6,19.29,2,7,1,4.4,0,0,0,0
2229,4,27.75,2,6.13,3,9.78,1,4.8,5,21.13,0,0
2230,5,24.67,4,10.64,1,4,3,9,0,0,1,3.055
2231,1,1.56,0,0,0,0,1,5,1,3,0,0
2232,9,28.32,7,20.38,3,8.9,4,41.76,0,0,0,0
2233,5,17.75,9,24.81,4,10.38,4,12.5,0,0,0,0
2234,6,20.62,11,31.755,6,22.68,6,22.62,5,20.665,1,4.16
2250,20,53.045,11,41.6,13,32.895,8,24.585,3,7.8,0,0
2251,4,12.56,4,13.67,7,19.96,2,9.25,3,17.61,0,0
2256,6,23.5,4,10.12,2,8.06,3,15.5,4,11.72,0,0
2257,6,16.275,6,13.3,3,9.5,3,9.85,7,27.68,0,0
2258,0,0,0,0,0,0,1,3.22,0,0,0,0
2259,15,59.28,24,87.53,12,43.03,13,39.34,4,6.25,1,4.8
2260,2,6.08,6,14.6,0,0,2,5.5,3,7.785,1,4
2261,13,33.32,8,20.22,7,19.31,4,10.985,2,3.12,0,0
2262,2,5.925,5,19.04,6,17.38,6,14.365,1,1.755,1,2.2
2263,6,13.4,5,15.46,3,6.41,1,4,1,4,0,0
2264,6,14.305,7,30.25,5,11.25,5,13.435,4,11.665,1,1.61
2265,1,3.84,1,4,4,20.97,4,8.11,4,9.29,0,0
2267,0,0,0,0,1,2.5,0,0,1,3.27,0,0
2278,2,8.5,3,8,1,2.5,3,12.18,1,5,0,0
2280,8,29,12,39.78,10,45.12,8,24.675,7,22,0,0
2281,3,7,7,15.24,3,10.06,3,7.32,0,0,0,0
2282,8,25.78,6,20.5,7,18,4,13,3,16.25,0,0
2283,7,17.5,7,20.565,11,27.17,7,20.6,7,25.25,0,0
2284,5,13.02,6,20.72,3,12,6,18.665,2,5.5,0,0
2285,15,39.66,17,41.7,9,25.47,11,134.47,4,11.02,0,0
2286,1,5,0,0,5,14.59,2,6,1,3,0,0
2287,13,47.18,19,51.109,19,59.725,13,34.04,10,26.4,0,0
2289,6,14.86,7,19.685,6,18.14,3,7.53,2,6,0,0
2290,13,34.12,11,30.81,7,99.42,9,28.68,6,20.67,0,0
2291,1,2,0,0,2,4.5,5,22.5,2,11.5,0,0
2292,1,1.5,0,0,0,0,0,0,0,0,0,0
2293,1,1.5,0,0,1,2.5,0,0,1,3,0,0
2294,0,0,0,0,0,0,2,3.03,0,0,0,0
2295,3,7.07,1,1.5,0,0,5,11.04,2,4.6,1,3
2296,1,2.07,3,5.5,5,13.74,0,0,0,0,0,0
2297,1,3,1,1.5,0,0,0,0,1,2.2,0,0
2298,0,0,4,20.31,0,0,2,19.53,0,0,0,0
2299,3,7.86,3,8.07,4,13.07,3,7.72,0,0,0,0
2300,0,0,1,5,3,6.14,0,0,0,0,0,0
2302,0,0,0,0,0,0,0,0,0,0,0,0
2303,1,1.5,3,9.18,2,5,1,3,2,7.05,1,1.6
2304,2,6.145,4,28.616,6,16.4,6,17.1,1,30,0,0
2305,2,4.5,4,10.06,4,10.825,2,7.12,1,4,0,0
2306,0,0,0,0,1,4,0,0,0,0,0,0
2307,2,6.07,0,0,2,4.08,2,5.06,0,0,0,0
2308,0,0,0,0,0,0,0,0,0,0,0,0
2311,0,0,0,0,1,2.5,1,3.04,1,3,0,0
2312,3,14.87,4,9.12,1,3,1,3.2,0,0,0,0
2315,7,24.5,7,17,8,21.8,11,26.83,8,16.6,0,0
2316,1,1.61,2,11.25,1,3.12,4,10.6,4,9.1,0,0
2317,7,20.62,1,6.435,1,5,5,8.4,2,5.945,0,0
2318,15,39.82,6,48.66,8,23.5,6,17.3,5,12.4,0,0
2319,7,17.21,7,18.84,6,16.5,2,4.8,1,5,0,0
2320,12,62.19,22,68.89,14,75.97,16,50.76,5,16.5,1,10
2321,5,22.76,22,55.99,10,28.04,4,9.6,1,2.76,1,2.07
2322,19,54.035,23,57.18,16,49.24,10,31.86,4,14.5,0,0
2323,7,23.24,17,50.282,7,23,4,11.5,3,20,1,2.07
2324,16,91.31,18,70.65,23,56.89,11,98.54,11,49.04,2,11.22
2325,13,58.58,24,67.45,21,93.94,13,53.81,12,60.31,0,0
2326,1,3.4,6,13.895,4,10,5,10.13,3,6.2,0,0
2327,5,12.72,9,24.26,4,18.04,3,36.72,4,67.12,1,5
2328,2,6,1,4.29,0,0,2,14,1,2.07,2,3.68
2329,0,0,4,9.36,0,0,2,3.36,0,0,0,0
2330,18,60.25,17,75.08,25,110.92,22,83.79,10,36.12,1,5
2333,8,28.44,12,49.14,6,30,8,31.23,8,54.37,3,10.36
2334,1,2.4,0,0,2,3.13,3,8.835,2,15,1,3
2335,6,17.44,2,3.68,6,24.32,8,35,4,20,0,0
2336,0,0,6,24.24,1,1.84,5,17.63,1,2,0,0
2337,4,15.94,12,51.415,5,18,4,13.32,1,2.04,0,0
2338,0,0,2,4.56,2,5.45,1,1.95,2,5,0,0
2339,1,4.08,0,0,0,0,0,0,0,0,0,0
2340,15,47.785,45,166,22,83.84,15,47.27,17,65.52,3,5.88
2341,2,9.065,0,0,0,0,0,0,1,3.64,0,0
2342,0,0,0,0,0,0,0,0,0,0,0,0
2343,3,8.56,7,24.13,12,40.775,6,13.05,1,2.6,0,0
2344,0,0,0,0,0,0,0,0,1,3,0,0
2345,1,10.5,1,2,1,5,0,0,0,0,0,0
2346,0,0,10,22.59,2,11.19,2,9,3,13,0,0
2347,4,8.69,7,29.38,0,0,1,3.2,1,5,0,0
2350,11,34.1,29,110.48,19,61.335,20,62.75,13,31.47,2,7.52
2352,0,0,6,16.43,0,0,4,9.57,0,0,0,0
2353,0,0,0,0,0,0,0,0,1,2.07,0,0
2354,3,12.288,3,12.24,3,11.04,0,0,3,8.22,0,0
2355,1,3.12,1,3.2,0,0,0,0,0,0,0,0
2356,0,0,0,0,0,0,0,0,0,0,0,0
2357,9,20.24,1,2,4,11.8,1,3.12,3,10.39,0,0
2358,3,12.85,7,19.835,0,0,4,8.82,2,4.6,0,0
2359,0,0,1,5.04,0,0,0,0,2,6.2,0,0
2360,11,30.26,28,77.66,18,177.69,7,31.69,14,85.45,0,0
2361,0,0,4,18.24,3,8.18,1,2,0,0,1,3.22
2365,2,5.08,5,16.61,0,0,3,5.28,1,1.61,0,0
2369,0,0,3,9.88,0,0,0,0,1,2.07,0,0
2370,9,24.13,7,17.39,13,57.65,6,18.1,15,86.1,0,0
2371,0,0,2,12.45,1,2.88,0,0,1,19.76,0,0
2372,9,21.33,7,25.91,4,9.71,2,6.785,9,28.32,2,3.03
2379,0,0,1,2,1,5,0,0,0,0,0,0
2380,5,13.41,17,59.105,14,45.221,6,23.656,3,9.04,0,0
2381,0,0,0,0,1,5.04,0,0,2,4.08,0,0
2382,0,0,1,5,4,19.02,1,5,0,0,0,0
2386,0,0,0,0,0,0,0,0,0,0,0,0
2387,0,0,0,0,0,0,0,0,0,0,0,0
2388,2,4.06,6,22.24,5,12.43,1,2.88,1,4.8,1,2.28
2390,3,12.56,21,75.19,7,29.84,4,12.44,5,19.69,0,0
2395,1,7.92,0,0,1,1.52,1,1.5,3,5.84,0,0
2396,2,3.85,3,14.32,1,3.2,0,0,0,0,0,0
2397,0,0,0,0,2,8.3,1,4.16,2,7.5,0,0
2398,0,0,0,0,1,7,1,5,0,0,0,0
2399,0,0,1,9.88,0,0,0,0,0,0,0,0
2400,4,23.17,14,61.98,6,40,1,2.5,3,6.91,0,0
2401,0,0,0,0,0,0,1,1.92,0,0,0,0
2402,0,0,4,8.52,0,0,1,2,0,0,0,0
2403,0,0,2,5.4,0,0,0,0,0,0,0,0
2404,1,4.8,3,11.48,2,7.27,2,6.04,1,1.9,0,0
2405,0,0,1,18,0,0,0,0,0,0,0,0
2406,0,0,1,2.16,2,13,0,0,0,0,0,0
2408,0,0,1,10.08,0,0,0,0,0,0,0,0
2409,0,0,0,0,0,0,0,0,0,0,0,0
2410,0,0,0,0,0,0,0,0,0,0,0,0
2411,0,0,0,0,0,0,0,0,1,3,0,0
2415,1,4.5,1,2.4,1,5,0,0,0,0,0,0
2420,4,9.67,3,8.55,1,3,2,8,4,11.06,0,0
2421,2,5.92,4,10.7,2,31.6,1,4,1,1.5,0,0
2422,10,21.82,6,14.77,11,33.76,14,59.7,0,0,0,0
2423,0,0,2,4.5,4,35.6,5,13,4,9.855,0,0
2424,0,0,0,0,1,2,1,10.08,0,0,1,2.5
2425,1,3,7,17.1,3,9.72,1,4,1,1.5,1,3
2426,2,9,1,11,4,9.04,0,0,0,0,0,0
2427,1,2,6,13.18,4,7.11,4,7.2,4,8.36,0,0
2428,16,40.21,22,49.944,19,45.41,10,30.56,12,51.6,0,0
2429,8,22.08,18,59.77,10,31.06,8,40.7,2,3.5,2,4.5
2430,31,84.12,34,113.506,18,44.865,22,72.38,11,50.85,0,0
2431,7,14.5,4,11.5,10,17.97,5,12.02,6,17.55,0,0
2439,3,7.6,3,9.2,3,8.5,2,15.08,0,0,0,0
2440,20,61.27,29,114.58,17,45.6,15,42.024,10,24.04,0,0
2441,2,3.52,8,24.1,4,8.5,3,7.04,1,3.5,0,0
2443,5,15,11,24.145,8,17.735,3,6.6,6,52.12,1,2
2444,23,55.69,42,100.91,28,81.07,15,52.62,13,41.88,0,0
2445,4,10.9,9,18.05,1,1.5,1,4,7,15.52,0,0
